taxonomy,barrier_visit_size,barrier_visit_portion,non_barrier_visit_size,non_barrier_visit_portion,aca_size,barrier_visits_relative_difference,area,area_code
Industry,8601,0.03266789726761013,185419,0.040851204271003,194020,-0.20031984734417108,Los Angeles,31080
Sports,8572,0.03255775088686827,189540,0.04175913610539324,198112,-0.22034424264194966,Los Angeles,31080
Health,1091,0.004143782806529782,27523,0.006063821372948919,28614,-0.31663837839692105,Los Angeles,31080
College,3263,0.012393366908988705,87028,0.019173863548486665,90291,-0.35363225686630717,Los Angeles,31080
Transportation,59900,0.1347399676084218,807462,0.10898727765042876,867362,0.23629079020207758,New York,35620
Arts / Museum,1556,0.0035000899766060825,21100,0.0028479749615759587,22656,0.22897498181278558,New York,35620
Service,12483,0.028079449343170776,170974,0.023077235596231656,183457,0.21675966023226564,New York,35620
School,1362,0.0030637034371063525,19656,0.0026530708931154995,21018,0.15477631791009075,New York,35620
Coffee / Tea,15317,0.03445429188411013,245308,0.0331104759182121,260625,0.040585824535336275,New York,35620
Office,20513,0.0461422530142163,330832,0.044654087795644434,351345,0.03332651705667637,New York,35620
Shopping,72136,0.16226381140903365,1175218,0.15862518665371445,1247354,0.022938505744755883,New York,35620
Automotive Service,25132,0.05653230160158359,415394,0.056067853610847575,440526,0.008283677023907974,New York,35620
Food,83046,0.18680493071801332,1374951,0.18558417163003915,1457997,0.006577926755562682,New York,35620
Personal Care Service,36899,0.08300116969587908,631429,0.08522720293900218,668328,-0.02611881144000816,New York,35620
Financial Service,19617,0.044126777037970126,336866,0.04546852764958516,356483,-0.029509436108324783,New York,35620
Grocery,32158,0.07233669245996041,553391,0.07469401478490433,585549,-0.0315597217759987,New York,35620
City / Outdoors,5971,0.013431257872953033,105636,0.014258231423745875,111607,-0.05799972845268787,New York,35620
Entertainment,9535,0.021448173474896526,179004,0.02416108578303047,188539,-0.11228437051613617,New York,35620
Industry,9833,0.022118499190210545,200075,0.02700514646622322,209908,-0.18095244482842063,New York,35620
Health,2441,0.005490822386179593,50475,0.00681286901353301,52916,-0.19405137904857964,New York,35620
College,7440,0.016735648731329853,154775,0.02089077368141796,162215,-0.19889760970337023,New York,35620
Sports,15736,0.035396796832823464,335133,0.045234615772409274,350869,-0.21748430425679352,New York,35620
Public Administration,9118,0.020510167356487315,200336,0.027040374971672096,209454,-0.24149841198673927,New York,35620
Neighborhood Service,4343,0.009769210005398597,99864,0.013479155050370688,104207,-0.2752357273959887,New York,35620
Agriculture,24,5.398596364945114e-05,894,0.00012066775429615673,918,-0.5526065437751286,New York,35620
